Unnamed: 0,year,month,day,store_number,zip_code,county_number,category,vendor_number,item_number,pack,bottle_vol,bottle_cost,state_bottle_retail,bottles_sold,sale,fd,vol_sold,store_subnumber
8428226,2016,1,4,3859,-14892,10,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428227,2016,1,4,2648,-15271,77,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,4
8428228,2016,1,4,2538,-14834,7,1062100,260,42166,12,750,10.0,15.0,1,15.0,2.7900763,0.75,3
8428229,2016,1,4,4373,-15270,77,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,74
8428230,2016,1,4,2643,-14835,7,1062100,260,42166,12,750,10.0,15.0,2,30.0,3.5312523999999996,1.5,100
8428231,2016,1,4,4829,-15222,77,1062300,370,42699,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428232,2016,1,4,4402,-13209,92,1012100,115,11774,24,375,3.07,4.61,3,13.83,2.703974,1.12,80
8428233,2016,1,4,4993,-12904,56,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428234,2016,1,4,4757,-15501,77,1012100,115,11774,24,375,3.07,4.61,3,13.83,2.703974,1.12,100
8428235,2016,1,4,2498,-14930,33,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,100
8428236,2016,1,4,2628,-14909,42,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428237,2016,1,4,2618,-13134,57,1012100,115,11774,24,375,3.07,4.61,3,13.83,2.703974,1.12,6
8428238,2016,1,4,4604,-15328,50,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,100
8428239,2016,1,4,2662,-12775,70,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428240,2016,1,4,2653,-13183,92,1012100,115,11774,24,375,3.07,4.61,2,9.22,2.27637,0.75,100
8428241,2016,1,4,4473,-15320,39,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,92
8428242,2016,1,4,2601,-12980,51,1062300,370,42699,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428243,2016,1,4,2643,-14835,7,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,100
8428244,2016,1,4,5091,-12775,70,1012100,115,11774,24,375,3.07,4.61,12,55.32,4.195020700000001,4.5,436
8428245,2016,1,4,2538,-14834,7,1062300,370,42699,12,750,7.49,11.24,1,11.24,2.4848156,0.75,3
8428246,2016,1,4,2670,-13295,52,1062300,370,42699,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428247,2016,1,4,2653,-13183,92,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,100
8428248,2016,1,4,2460,-15095,100,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,100
8428249,2016,1,4,2618,-13134,57,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,6
8428250,2016,1,4,2190,-15222,77,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,100
8428251,2016,1,4,2569,-13134,57,1062300,370,42699,12,750,7.49,11.24,2,22.48,3.221316,1.5,2
8428252,2016,1,4,3525,-13183,92,1062300,370,42699,12,750,7.49,11.24,1,11.24,2.4848156,0.75,100
8428253,2016,1,4,4845,-13135,57,1012100,115,11774,24,375,3.07,4.61,48,221.28,5.732092400000001,18.0,100
8428254,2016,1,4,2647,-13125,57,1012100,115,11774,24,375,3.07,4.61,3,13.83,2.703974,1.12,7
8428255,2016,1,4,2191,-12904,56,1062300,370,42712,12,500,4.95,7.43,1,7.43,2.0502813,0.5,100
8428256,2016,1,4,4967,-12810,82,1012100,115,11774,24,375,3.07,4.61,4,18.44,3.0096781000000004,1.5,100
8428257,2016,1,4,2573,-12775,70,1012100,115,11774,24,375,3.07,4.61,12,55.32,4.195020700000001,4.5,100
8428258,2016,1,4,4543,-13234,57,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,2924
8428259,2016,1,4,4152,-13981,43,1062300,370,42699,12,750,7.49,11.24,3,33.72,3.6573597999999996,2.25,100
8428260,2016,1,4,4596,-15219,77,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,534
8428261,2016,1,4,3403,-12798,58,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428262,2016,1,4,4504,-15411,91,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,921
8428263,2016,1,4,4845,-13135,57,1012100,115,11773,48,200,1.56,2.34,48,112.32,4.9744269999999995,9.6,100
8428264,2016,1,4,2647,-13125,57,1012100,115,11773,48,200,1.56,2.34,3,7.02,1.9910033999999999,0.6,7
8428265,2016,1,4,2643,-14835,7,1031200,380,41707,12,1000,5.78,8.67,2,17.34,2.9441564,2.0,100
8428266,2016,1,4,2538,-14834,7,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,3
8428267,2016,1,4,2648,-15271,77,1012100,115,11773,48,200,1.56,2.34,48,112.32,4.9744269999999995,9.6,4
8428268,2016,1,4,4698,-12980,51,1012100,115,11773,48,200,1.56,2.34,96,224.64,5.74906,19.2,100
8428269,2016,1,4,2584,-12909,56,1062300,370,42703,12,750,7.49,11.24,4,44.96,3.9690974000000003,3.0,100
8428270,2016,1,4,5102,-13222,57,1062300,370,42703,12,750,7.49,11.24,3,33.72,3.6573597999999996,2.25,100
8428271,2016,1,4,2590,-13134,57,1012100,115,11773,48,200,1.56,2.34,5,11.7,2.5271297,1.0,5
8428272,2016,1,4,3400,-15219,77,1012100,115,11773,48,200,1.56,2.34,48,112.32,4.9744269999999995,9.6,100
8428273,2016,1,4,2588,-13133,57,1012100,115,11773,48,200,1.56,2.34,6,14.04,2.7199404,1.2,6
8428274,2016,1,4,4180,-13234,57,1012100,115,11773,48,200,1.56,2.34,48,112.32,4.9744269999999995,9.6,100
8428275,2016,1,4,2653,-13183,92,1062300,370,42703,12,750,7.49,11.24,2,22.48,3.221316,1.5,100
8428276,2016,1,4,3628,-13134,57,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428277,2016,1,4,5077,-14035,78,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428278,2016,1,4,3811,-12904,56,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428279,2016,1,4,3618,-13132,57,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428280,2016,1,4,2558,-12895,44,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428281,2016,1,4,3644,-15527,77,1062300,370,42703,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428282,2016,1,4,2517,-15328,50,1012100,115,11774,24,375,3.07,4.61,10,46.1,3.996324,3.75,1
8428283,2016,1,4,3461,-15286,1,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428284,2016,1,4,2560,-13234,57,1062300,370,42703,12,750,7.49,11.24,6,67.44,4.41182,4.5,100
8428285,2016,1,4,4016,-14915,38,1062300,370,42703,12,750,7.49,11.24,1,11.24,2.4848156,0.75,100
8428286,2016,1,4,2527,-15221,77,1062300,370,42703,12,750,7.49,11.24,2,22.48,3.221316,1.5,5
8428287,2016,1,4,4622,-15216,77,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,544
8428288,2016,1,4,4580,-13183,92,1012100,115,11774,24,375,3.07,4.61,9,41.49,3.8818623999999997,3.38,100
